iter	Logloss
0	0.6815168381
1	0.6709106445
2	0.6551832199
3	0.6400783539
4	0.6285276413
5	0.6185640335
6	0.6041576385
7	0.5916894436
8	0.5818407059
9	0.5709438324
10	0.5617825985
11	0.5539653778
12	0.5421875
13	0.5303900719
14	0.5177231789
15	0.5071838856
16	0.5007200241
17	0.4905570507
18	0.4790594101
19	0.4671739101
20	0.4557202339
21	0.4461470127
22	0.4390756607
23	0.4302063942
24	0.4229063988
25	0.415045929
26	0.4081234932
27	0.4003813267
28	0.3920786858
29	0.3832100868
30	0.3774158478
31	0.3699426889
32	0.363287282
33	0.3569226027
34	0.3507302284
35	0.3437837601
36	0.3374547482
37	0.3305531025
38	0.3272409916
39	0.3237061262
40	0.3176417589
41	0.3130605221
42	0.3084529877
43	0.3034182787
44	0.2992627144
45	0.2931433678
46	0.2883511066
47	0.2852756739
48	0.2808397055
49	0.2757561207
50	0.2722104788
51	0.2672785759
52	0.2625380516
53	0.2586156368
54	0.2540258884
55	0.2499285698
56	0.2460909367
57	0.2440281868
58	0.2403301477
59	0.2366874695
60	0.2332956314
61	0.229477644
62	0.2274173498
63	0.2235659361
64	0.2204089642
65	0.2184858799
66	0.2160020828
67	0.2124634504
68	0.2088948011
69	0.2068185806
70	0.2032453775
71	0.2000409603
72	0.1959863901
73	0.1938048363
74	0.1921022177
75	0.1905783653
76	0.1882879496
77	0.1852040052
78	0.1830584288
79	0.180810833
80	0.1789535165
81	0.1762353778
82	0.1743151069
83	0.1726389885
84	0.1712794781
85	0.1687731385
86	0.1668400645
87	0.1645490408
88	0.1618840814
89	0.159995532
90	0.1583737135
91	0.156112051
92	0.1548194408
93	0.1535000563
94	0.1518425941
95	0.150344491
96	0.1485056162
97	0.1471799731
98	0.1460065842
99	0.1446754694
100	0.1428966522
101	0.1412325025
102	0.13972404
103	0.1381204486
104	0.1369555235
105	0.1357336879
106	0.1346563339
107	0.1332515717
108	0.1320524931
109	0.1308173895
110	0.1294537663
111	0.1279768229
112	0.1267204762
113	0.1256698608
114	0.1246303201
115	0.1233879328
116	0.1226131201
117	0.1211797476
118	0.1199753523
119	0.1194303989
120	0.1179317355
121	0.1167518616
122	0.1158874273
123	0.1154373884
124	0.1144153118
125	0.1133537173
126	0.1123213172
127	0.1114899755
128	0.1104047775
129	0.1098849058
130	0.1086587667
131	0.1082124949
132	0.1075519204
133	0.1064131975
134	0.1057690859
135	0.1050203085
136	0.1042808294
137	0.1034397602
138	0.1027805448
139	0.101995039
