iter	Passed	Remaining
0	146	145855
1	158	79009
2	171	57146
3	185	46275
4	201	40006
5	213	35327
6	225	31992
7	237	29503
8	250	27615
9	262	25997
10	277	24912
11	292	24060
12	306	23292
13	319	22518
14	335	22051
15	352	21648
16	367	21259
17	381	20791
18	397	20536
19	414	20333
20	427	19950
21	441	19622
22	455	19365
23	470	19148
24	486	18977
25	499	18706
26	516	18612
27	530	18417
28	546	18311
29	564	18253
30	580	18153
31	597	18061
32	614	17998
33	628	17852
34	642	17713
35	656	17587
36	670	17450
37	684	17323
38	700	17253
39	711	17078
40	728	17029
41	744	16972
42	758	16885
43	773	16815
44	787	16720
45	803	16664
46	817	16567
47	831	16485
48	847	16441
49	870	16540
50	885	16484
51	898	16373
52	908	16239
53	921	16139
54	932	16018
55	942	15891
56	954	15794
57	967	15709
58	979	15617
59	991	15535
60	1004	15460
61	1018	15412
62	1031	15339
63	1044	15280
64	1056	15193
65	1070	15143
66	1081	15063
67	1092	14977
68	1103	14884
69	1115	14821
70	1126	14739
71	1209	15594
72	1220	15504
73	1232	15423
74	1254	15477
75	1266	15398
76	1279	15333
77	1292	15281
78	1307	15242
79	1317	15145
80	1330	15089
81	1341	15023
82	1353	14953
83	1366	14900
84	1379	14845
85	1390	14773
86	1400	14701
87	1411	14629
88	1422	14560
89	1433	14489
90	1444	14430
91	1457	14380
92	1468	14322
93	1479	14263
94	1490	14194
95	1501	14140
96	1512	14079
97	1522	14015
98	1535	13974
99	1546	13920
100	1558	13870
101	1568	13811
102	1579	13753
103	1590	13704
104	1602	13656
105	1613	13609
106	1625	13568
107	1636	13518
108	1647	13468
109	1659	13427
110	1671	13385
111	1682	13338
112	1692	13285
113	1703	13241
114	1713	13185
115	1723	13133
116	1734	13089
117	1744	13036
118	1755	12996
119	1766	12952
120	1777	12915
121	1790	12883
122	1803	12858
123	1815	12824
124	1826	12782
125	1842	12777
126	1853	12737
127	1864	12701
128	1874	12659
129	1890	12653
130	1901	12613
131	1911	12571
132	1921	12526
133	1934	12500
134	1944	12458
135	1954	12417
136	1965	12379
137	1976	12348
138	1988	12316
139	2002	12301
